No,Magnet,x_shift,y_shift,z_shift,Strength_ratio,RMS(d_px),Mean(d_px),RMS(d_py),Mean(d_py),RMS(d_pz),Mean(d_pz),RMS(d_sx),Mean(d_sx),RMS(d_sy),Mean(d_sy),RMS(d_x),Mean(d_x),RMS(d_y),Mean(d_y)
1.1,dipole(1),0,0,0,0.95,0,0,0,0,0,0,3.13639e-06,2.87238e-05,0,0,0.000247279,-0.00218834,0,0
2.2,dipole(2),0,0,0,0.95,0,0,0,0,0,0,2.30722e-06,-9.41639e-06,0,0,0.000473622,-0.00499021,0,0
3.3,quadrupole(1),0,0,0,0.95,0,0,0,0,0,0,9.34755e-06,8.77147e-06,5.00966e-06,4.32766e-06,0.000339398,7.40694e-05,0.000423089,0.00115176
4.4,quadrupole(2),0,0,0,0.95,0,0,0,0,0,0,2.44396e-07,1.61484e-10,6.15954e-06,-1.62421e-05,0.00029359,4.96409e-07,0.00128234,-0.00302251
5.5,quadrupole(3),0,0,0,0.95,0,0,0,0,0,0,3.79374e-07,7.58236e-10,6.93037e-06,-1.83908e-05,0.000478999,7.545e-07,0.00137706,-0.00328235
6.6,quadrupole(4),0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.7,quadrupole(5),0,0,0,0.95,0,0,0,0,0,0,1.45129e-06,-3.02181e-09,3.83657e-06,1.08935e-05,0.00143658,-2.10912e-06,0.000647134,0.00177833
8.8,quadrupole(6),0,0,0,0.95,0,0,0,0,0,0,4.31124e-06,-4.3853e-06,7.79965e-06,-6.06163e-07,0.00022955,-0.000225839,0.000217739,-2.00392e-05
9.9,vertical_kicker(1),0,0,0,0.95,0,0,0,0,0,0,0,0,2.49189e-08,2.72029e-07,0,0,7.084e-07,5.24669e-05
10.10,vertical_kicker(2),0,0,0,0.95,0,0,0,0,0,0,0,0,1.50266e-08,4.17828e-07,0,0,4.72119e-06,7.54714e-05
11.11,vertical_kicker(3),0,0,0,0.95,0,0,0,0,0,0,0,0,1.03018e-08,3.01863e-07,0,0,1.83973e-06,4.67319e-05
