No,Magnet,x_shift,y_shift,z_shift,Strength_ratio,RMS(d_px),Mean(d_px),RMS(d_py),Mean(d_py),RMS(d_pz),Mean(d_pz),RMS(d_sx),Mean(d_sx),RMS(d_sy),Mean(d_sy),RMS(d_x),Mean(d_x),RMS(d_y),Mean(d_y)
1_1,dipole(1),0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_2,dipole(2),0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_3,quadrupole(1),0,-0.0005,0,1,0,0,0,0,0,0,0,0,1.59547e-06,-1.96601e-05,0,0,0.000112118,-0.00276166
4_4,quadrupole(2),0,-0.0005,0,1,0,0,0,0,0,0,0,0,1.0753e-06,2.24075e-05,0,0,0.000213895,0.00413121
5_5,quadrupole(3),0,-0.0005,0,1,0,0,0,0,0,0,0,0,7.71749e-07,2.44469e-05,0,0,0.000280855,0.00432721
6_6,quadrupole(4),0,-0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7_7,quadrupole(5),0,-0.0005,0,1,0,0,0,0,0,0,0,0,8.0578e-07,-2.12406e-05,0,0,0.000152283,-0.00346065
8_8,quadrupole(6),0,-0.0005,0,1,0,0,0,0,0,0,0,0,9.67942e-07,9.4438e-06,0,0,2.32255e-05,0.000267959
9_1,dipole(1),0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_2,dipole(2),0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11_3,quadrupole(1),0,-0.0002,0,1,0,0,0,0,0,0,0,0,6.38187e-07,-7.86405e-06,0,0,4.48474e-05,-0.00110466
12_4,quadrupole(2),0,-0.0002,0,1,0,0,0,0,0,0,0,0,4.3012e-07,8.963e-06,0,0,8.55582e-05,0.00165249
13_5,quadrupole(3),0,-0.0002,0,1,0,0,0,0,0,0,0,0,3.087e-07,9.77875e-06,0,0,0.000112342,0.00173088
14_6,quadrupole(4),0,-0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15_7,quadrupole(5),0,-0.0002,0,1,0,0,0,0,0,0,0,0,3.22312e-07,-8.49623e-06,0,0,6.09132e-05,-0.00138426
16_8,quadrupole(6),0,-0.0002,0,1,0,0,0,0,0,0,0,0,3.87177e-07,3.77752e-06,0,0,9.29018e-06,0.000107184
17_1,dipole(1),0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_2,dipole(2),0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_3,quadrupole(1),0,-0.0001,0,1,0,0,0,0,0,0,0,0,3.19093e-07,-3.93202e-06,0,0,2.24237e-05,-0.000552332
20_4,quadrupole(2),0,-0.0001,0,1,0,0,0,0,0,0,0,0,2.1506e-07,4.4815e-06,0,0,4.27791e-05,0.000826243
21_5,quadrupole(3),0,-0.0001,0,1,0,0,0,0,0,0,0,0,1.5435e-07,4.88937e-06,0,0,5.6171e-05,0.000865441
22_6,quadrupole(4),0,-0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23_7,quadrupole(5),0,-0.0001,0,1,0,0,0,0,0,0,0,0,1.61156e-07,-4.24811e-06,0,0,3.04566e-05,-0.00069213
24_8,quadrupole(6),0,-0.0001,0,1,0,0,0,0,0,0,0,0,1.93588e-07,1.88876e-06,0,0,4.64509e-06,5.35918e-05
25_1,dipole(1),0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26_2,dipole(2),0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27_3,quadrupole(1),0,0.0001,0,1,0,0,0,0,0,0,0,0,3.19093e-07,3.93202e-06,0,0,2.24237e-05,0.000552332
28_4,quadrupole(2),0,0.0001,0,1,0,0,0,0,0,0,0,0,2.1506e-07,-4.4815e-06,0,0,4.27791e-05,-0.000826243
29_5,quadrupole(3),0,0.0001,0,1,0,0,0,0,0,0,0,0,1.5435e-07,-4.88937e-06,0,0,5.6171e-05,-0.000865441
30_6,quadrupole(4),0,0.0001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31_7,quadrupole(5),0,0.0001,0,1,0,0,0,0,0,0,0,0,1.61156e-07,4.24811e-06,0,0,3.04566e-05,0.00069213
32_8,quadrupole(6),0,0.0001,0,1,0,0,0,0,0,0,0,0,1.93588e-07,-1.88876e-06,0,0,4.64509e-06,-5.35918e-05
33_1,dipole(1),0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34_2,dipole(2),0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35_3,quadrupole(1),0,0.0002,0,1,0,0,0,0,0,0,0,0,6.38187e-07,7.86405e-06,0,0,4.48474e-05,0.00110466
36_4,quadrupole(2),0,0.0002,0,1,0,0,0,0,0,0,0,0,4.3012e-07,-8.963e-06,0,0,8.55582e-05,-0.00165249
37_5,quadrupole(3),0,0.0002,0,1,0,0,0,0,0,0,0,0,3.087e-07,-9.77875e-06,0,0,0.000112342,-0.00173088
38_6,quadrupole(4),0,0.0002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39_7,quadrupole(5),0,0.0002,0,1,0,0,0,0,0,0,0,0,3.22312e-07,8.49623e-06,0,0,6.09132e-05,0.00138426
40_8,quadrupole(6),0,0.0002,0,1,0,0,0,0,0,0,0,0,3.87177e-07,-3.77752e-06,0,0,9.29019e-06,-0.000107184
41_1,dipole(1),0,0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42_2,dipole(2),0,0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43_3,quadrupole(1),0,0.0005,0,1,0,0,0,0,0,0,0,0,1.59547e-06,1.96601e-05,0,0,0.000112118,0.00276166
44_4,quadrupole(2),0,0.0005,0,1,0,0,0,0,0,0,0,0,1.0753e-06,-2.24075e-05,0,0,0.000213895,-0.00413121
45_5,quadrupole(3),0,0.0005,0,1,0,0,0,0,0,0,0,0,7.71749e-07,-2.44469e-05,0,0,0.000280855,-0.00432721
46_6,quadrupole(4),0,0.0005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47_7,quadrupole(5),0,0.0005,0,1,0,0,0,0,0,0,0,0,8.0578e-07,2.12406e-05,0,0,0.000152283,0.00346065
48_8,quadrupole(6),0,0.0005,0,1,0,0,0,0,0,0,0,0,9.67942e-07,-9.4438e-06,0,0,2.32255e-05,-0.000267959
