No,Magnet,x_shift,y_shift,z_shift,Strength_ratio,RMS(d_px),Mean(d_px),RMS(d_py),Mean(d_py),RMS(d_pz),Mean(d_pz),RMS(d_sx),Mean(d_sx),RMS(d_sy),Mean(d_sy),RMS(d_x),Mean(d_x),RMS(d_y),Mean(d_y)
1_1,dipole(1),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_2,dipole(2),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_3,quadrupole(1),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4_4,quadrupole(2),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5_5,quadrupole(3),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6_6,quadrupole(4),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7_7,quadrupole(5),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8_8,quadrupole(6),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9_9,vertical_kicker(1),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_10,vertical_kicker(2),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11_11,vertical_kicker(3),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_12,vertical_kicker(4),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13_13,vertical_kicker(5),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,2.23511e-07,1.92353e-07,2.42979e-07,-3.65328e-07
14_14,horizontal_kicker(1),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,2.23511e-07,1.92353e-07,2.42979e-07,-3.65328e-07
15_15,horizontal_kicker(2),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,2.23511e-07,1.92353e-07,2.42979e-07,-3.65328e-07
16_16,horizontal_kicker(3),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,2.23511e-07,1.92353e-07,2.42979e-07,-3.65328e-07
17_17,horizontal_kicker(4),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,2.23511e-07,1.92353e-07,2.42979e-07,-3.65328e-07
18_18,horizontal_kicker(5),0,0,-0.005,1,0,0,0,0,0,0,0,0,0,0,2.23511e-07,1.92353e-07,2.42979e-07,-3.65328e-07
19_1,dipole(1),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_2,dipole(2),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21_3,quadrupole(1),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_4,quadrupole(2),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23_5,quadrupole(3),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24_6,quadrupole(4),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25_7,quadrupole(5),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26_8,quadrupole(6),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27_9,vertical_kicker(1),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28_10,vertical_kicker(2),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29_11,vertical_kicker(3),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30_12,vertical_kicker(4),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31_13,vertical_kicker(5),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,4.47026e-08,3.84698e-08,4.85966e-08,-7.30652e-08
32_14,horizontal_kicker(1),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,4.47026e-08,3.84698e-08,4.85966e-08,-7.30652e-08
33_15,horizontal_kicker(2),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,4.47026e-08,3.84698e-08,4.85966e-08,-7.30652e-08
34_16,horizontal_kicker(3),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,4.47026e-08,3.84698e-08,4.85966e-08,-7.30652e-08
35_17,horizontal_kicker(4),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,4.47026e-08,3.84698e-08,4.85966e-08,-7.30652e-08
36_18,horizontal_kicker(5),0,0,-0.001,1,0,0,0,0,0,0,0,0,0,0,4.47026e-08,3.84698e-08,4.85966e-08,-7.30652e-08
37_1,dipole(1),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38_2,dipole(2),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39_3,quadrupole(1),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40_4,quadrupole(2),0,0,-0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
