No,Magnet,Position,x_shift[m],y_shift[m],z_shift[m],Strength_ratio,RMS(d_px),Mean(d_px),RMS(d_py),Mean(d_py),RMS(d_pz),Mean(d_pz),RMS(d_sx),Mean(d_sx),RMS(d_sy),Mean(d_sy),RMS(d_x),Mean(d_x),RMS(d_y),Mean(d_y)
1_1,HKICKER(1),29.842,-0.0005,0,0,1,0,0,0,0,0,0,8.65375e-07,5.7054e-06,0,0,0.000542783,-0.000370032,0,0
2_1,HKICKER(2),38.019,-0.0005,0,0,1,0,0,0,0,0,0,7.933e-07,5.83863e-06,0,0,0.000409172,0.00190229,0,0
3_1,HKICKER(3),53.814,-0.0005,0,0,1,0,0,0,0,0,0,3.43152e-07,1.79203e-06,0,0,1.26025e-05,-0.000675551,0,0
4_1,HKICKER(4),166.185,-0.0005,0,0,1,0,0,0,0,0,0,3.43152e-07,1.79203e-06,0,0,1.26025e-05,-0.000675551,0,0
5_1,HKICKER(5),193.898,-0.0005,0,0,1,0,0,0,0,0,0,5.11518e-07,6.41169e-06,0,0,4.36637e-06,-0.000445356,0,0
6_1,QUADRUPOLE(1),29.335,-0.0005,0,0,1,0,0,0,0,0,0,2.29704e-06,-2.70301e-06,0,0,0.00043429,0.00251459,0,0
7_1,QUADRUPOLE(2),37.55,-0.0005,0,0,1,0,0,0,0,0,0,1.60348e-06,-1.33231e-07,0,0,0.000135142,-0.00227232,0,0
8_1,QUADRUPOLE(3),44.05,-0.0005,0,0,1,0,0,0,0,0,0,1.72746e-06,-2.16046e-06,0,0,7.81779e-05,-0.00295203,0,0
9_1,QUADRUPOLE(4),46.7195,-0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_1,QUADRUPOLE(5),53.335,-0.0005,0,0,1,0,0,0,0,0,0,2.85053e-06,6.20706e-06,0,0,0.000498648,0.00552987,0,0
11_1,QUADRUPOLE(6),171.253,-0.0005,0,0,1,0,0,0,0,0,0,1.69077e-07,-4.61966e-06,0,0,1.69688e-05,-0.000230195,0,0
12_1,QUADRUPOLE(7),198.89,-0.0005,0,0,1,0,0,0,0,0,0,5.11518e-07,6.41169e-06,0,0,4.36637e-06,5.46443e-05,0,0
13_1,RBEND(1),63.022,-0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14_1,RBEND(2),67.288,-0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15_1,RBEND(3),71.554,-0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16_1,RBEND(4),75.82,-0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17_1,RBEND(5),80.086,-0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18_1,RBEND(6),84.352,-0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19_1,RBEND(7),162.625,-0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_1,VKICKER(1),29.842,-0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21_1,VKICKER(2),38.019,-0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_1,VKICKER(3),53.814,-0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23_1,VKICKER(4),164.888,-0.0005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24_1,VKICKER(5),167.481,-0.0005,0,0,1,0,0,0,0,0,0,3.43152e-07,1.79203e-06,0,0,1.26025e-05,-0.000675551,0,0
25_1,HKICKER(1),29.842,-0.0002,0,0,1,0,0,0,0,0,0,3.4615e-07,2.28216e-06,0,0,0.000217113,-0.000148013,0,0
